nombre,categoria,unidad_referencia,vida_util_estimada_dias,frecuencia_historica,a_confirmar,notas
Manteca,"Lácteos, huevos y fiambres",unidad,20,20,no,
Leche,"Lácteos, huevos y fiambres",L,90,13,no,"Se asume larga vida por ser lo habitual en súper; verificar si alguna compra era leche fresca"
Huevos,"Lácteos, huevos y fiambres",docena,21,12,no,"Suma variantes ""Huevos""/""Huevo"""
Queso crema,"Lácteos, huevos y fiambres",pote,30,6,no,
Queso cremoso,"Lácteos, huevos y fiambres",kg,20,3,no,
Queso para rallar,"Lácteos, huevos y fiambres",unidad,60,3,no,"Pieza para rallar en casa"
Queso rallado,"Lácteos, huevos y fiambres",paquete,30,1,no,"Ya viene rallado (""Queso rayado"")"
Queso duro,"Lácteos, huevos y fiambres",pieza,60,1,no,
Queso (sin especificar),"Lácteos, huevos y fiambres",unidad,30,2,si,"No se indicaba el tipo; a confirmar cuál es el habitual"
Yogur,"Lácteos, huevos y fiambres",unidad,15,1,no,
Crema (de leche),"Lácteos, huevos y fiambres",pote,10,1,si,"Podría ser crema de leche (cocina) o crema corporal; se asumió crema de leche por contexto"
Leche deslactosada,"Lácteos, huevos y fiambres",L,90,1,no,
Leche larga vida,"Lácteos, huevos y fiambres",L,90,1,no,
Pan,Panadería,unidad,3,12,no,
Tarta (masa/pascualina),Panadería,unidad,3,2,no,
Masa para tarta,Panadería,paquete,90,2,no,
Masa para empanadas,Panadería,paquete,90,1,no,
Arroz,Almacén,kg,365,8,no,
Azúcar,Almacén,kg,730,7,no,
Fideos (sin especificar),Almacén,paquete,365,3,no,
Fideos sopa,Almacén,paquete,365,3,no,
Fideos largos,Almacén,paquete,365,2,no,
Fideos cortos,Almacén,paquete,365,1,no,
Espirales,Almacén,paquete,365,1,si,"Ambiguo: podría ser fideos tipo espiral (pasta) o espiral repelente de mosquitos"
Rapiditas (fideos instantáneos),Almacén,unidad,180,1,no,
Harina,Almacén,kg,180,2,no,
Harina leudante,Almacén,kg,180,1,no,
Sal,Almacén,kg,730,2,no,
Sal fina,Almacén,kg,730,1,no,
Sal parrillera,Almacén,kg,730,1,no,
Aceite de oliva,Almacén,L,365,5,no,"Suma ""Aceite de oliva""/""Aceite oliva cocinar"""
Aceite de girasol,Almacén,L,365,1,no,
Aceite (sin especificar),Almacén,L,365,2,si,"Suma ""Aceite""/""Óleo""; confirmar si es de oliva o girasol"
Pan rallado,Almacén,paquete,180,2,no,
Dulce de leche,Almacén,pote,90,3,no,
Mermelada,Almacén,frasco,180,6,no,
Miel,Almacén,frasco,365,2,no,
Mayonesa,Almacén,frasco,90,2,no,
Ketchup,Almacén,botella,180,1,no,
Salsa de soja,Almacén,botella,365,2,no,
Vinagre,Almacén,botella,730,1,no,
Reducción de aceto balsámico,Almacén,botella,365,1,no,
Levadura,Almacén,paquete,180,3,no,
Polvo de hornear,Almacén,lata,365,1,no,
Bicarbonato de sodio,Almacén,paquete,730,1,no,
Maicena,Almacén,paquete,365,1,no,
Ají molido,Almacén,frasco,365,1,no,
Pimienta,Almacén,frasco,730,1,no,
Condimento provenzal,Almacén,frasco,365,1,no,
Sibarita (condimento),Almacén,frasco,365,2,no,
Salsa/condimento barbacoa,Almacén,botella,180,1,no,
Canela,Almacén,frasco,730,1,no,
Esencia de vainilla,Almacén,frasco,365,1,no,
Fritolín (grasa para freír),Almacén,unidad,180,3,no,
Tomate en lata,Almacén,lata,730,1,no,
Concentrado/puré de tomate,Almacén,sachet,365,1,no,
Choclo en lata,Almacén,lata,730,1,no,
Atún en lata,Almacén,lata,730,1,no,
